,month,sender,bank,n.terms,Achiev,Adverbs,Affect,Anger,Anx,Article,Assent,AuxVb,Body,Cause,Certain,Conj,Death,Discrep,Excl,Family,Feel,Filler,Friends,Future,Health,Hear,Home,Humans,I,Incl,Ingest,Inhib,Insight,Ipron,Leisure,Money,Motion,Negate,Negemo,Nonflu,Numbers,Past,Percept,Posemo,Prep,Present,Quant,Relig,Sad,See,Sexual,SheHe,Social,Space,Swear,Tentat,They,Time,We,Work,You
0,12,B0004,B,4,3,1,2,1,4,5,2,5,0,2,4,2,4,4,5,5,0,2,2,4,2,4,4,1,1,1,3,3,0,0,2,5,1,0,4,0,2,1,2,5,2,1,0,1,2,3,3,3,1,4,5,1,3,1,4,4,4
1,12,B0004,B,2,0,4,1,3,2,2,0,3,2,1,1,1,0,5,5,0,0,1,1,5,2,1,5,3,5,0,2,2,0,3,5,0,1,5,1,2,2,5,4,2,3,0,3,0,0,4,1,5,0,5,1,5,4,0,5,0,0
2,12,B0004,B,3,4,5,1,4,1,5,3,1,5,2,1,0,3,1,5,3,5,4,3,2,5,0,1,0,1,5,1,1,5,4,4,1,2,5,2,3,5,0,0,4,3,4,2,2,4,2,0,2,3,5,5,4,3,5,4,5,4
3,12,B0004,B,0,5,1,3,1,4,4,0,0,5,4,0,0,5,2,2,3,0,5,5,5,1,3,5,1,4,3,1,2,4,5,1,2,0,2,1,2,1,1,1,1,1,5,3,5,5,4,2,5,1,2,0,2,4,0,5,3,2
4,12,B0071,B,3,3,2,2,1,0,5,5,2,5,4,4,2,5,2,3,2,2,0,2,1,1,3,5,5,3,0,5,5,5,4,1,5,4,2,3,0,1,1,3,0,4,3,3,1,0,0,5,1,0,0,5,1,5,1,4,0,4
5,12,B0071,B,2,0,4,1,2,3,1,2,1,1,5,2,5,1,1,5,3,4,5,5,0,1,4,5,3,4,1,1,3,3,1,4,3,4,0,1,0,1,3,4,0,2,1,2,4,0,3,2,2,4,1,1,2,4,0,3,1,2
6,12,B0071,B,0,5,5,4,3,0,1,0,4,0,3,3,5,4,1,0,2,4,4,5,5,3,3,1,4,2,0,3,3,4,2,3,2,4,4,4,1,0,1,1,2,5,2,5,2,3,0,1,1,5,1,4,5,5,3,1,4,5
7,12,B0071,B,4,5,5,2,3,1,0,1,3,4,1,5,5,3,0,2,1,1,5,5,1,3,3,2,1,3,0,0,3,0,1,2,1,2,4,2,4,1,3,0,2,5,3,2,3,2,3,5,1,0,1,1,4,1,5,5,5,4
8,12,B0071,B,1,2,0,5,1,4,5,4,0,2,2,3,1,3,5,4,4,4,2,4,3,5,5,2,3,5,0,5,5,5,4,3,2,2,1,0,5,1,5,3,0,5,2,2,5,4,2,5,5,0,1,2,0,0,2,3,3,0
9,12,B0078,B,2,2,0,0,0,2,1,2,5,4,0,4,5,2,1,4,3,3,0,1,3,1,0,5,2,0,5,4,5,5,2,2,4,1,1,2,3,5,1,3,4,3,0,4,2,2,2,0,2,0,4,0,5,2,1,2,1,3
10,12,B0082,B,0,1,0,4,4,2,2,0,3,0,0,5,3,5,3,3,1,5,4,5,2,2,2,1,4,3,5,3,5,4,3,4,0,0,5,5,0,2,3,4,1,0,5,0,4,4,5,0,2,3,3,2,5,3,4,0,1,0
11,12,B0082,B,0,1,1,3,5,4,5,3,1,5,1,5,0,2,5,5,3,5,1,1,2,4,3,5,3,4,2,3,2,5,2,2,5,3,5,4,0,0,0,3,0,4,3,5,1,3,0,2,2,5,5,4,1,5,0,1,1,0
12,12,B0082,B,1,2,1,5,2,5,1,2,0,2,3,5,5,4,4,2,2,5,5,3,2,4,4,3,5,3,2,0,3,2,3,1,4,1,3,1,5,5,4,3,5,2,3,3,4,2,5,5,2,4,4,5,3,1,1,1,4,0
13,12,B0082,B,4,1,5,2,3,2,0,3,5,5,4,0,5,2,1,0,0,1,2,2,0,4,2,0,2,3,1,2,5,0,5,3,1,0,4,2,4,1,0,4,2,4,5,3,4,2,1,4,4,5,3,0,2,2,4,5,5,5
14,12,B0115,B,1,3,3,5,3,1,0,0,2,4,3,5,1,2,2,0,3,1,5,4,3,1,4,5,3,2,3,2,5,0,4,4,4,3,3,1,3,5,0,2,0,5,3,0,2,2,2,0,2,2,4,3,0,2,3,0,4,0
15,12,B0115,B,2,3,4,3,5,1,4,3,0,2,3,3,4,3,0,4,1,3,5,4,0,0,4,1,3,3,4,1,4,1,2,1,2,4,3,0,4,0,1,2,3,5,5,0,4,0,2,1,0,3,2,2,2,1,3,0,0,2
16,12,B0115,B,5,1,1,5,4,3,1,2,3,1,3,5,0,1,2,4,0,5,3,2,5,0,5,2,2,3,4,4,4,2,4,5,1,2,3,4,2,3,4,5,5,2,1,2,5,1,2,4,1,4,3,1,3,3,2,5,4,5
17,12,B0153,B,5,3,1,2,3,1,2,0,4,2,2,5,2,2,0,1,3,2,4,5,2,3,0,1,3,3,3,4,5,2,0,0,3,3,0,4,5,5,4,3,3,2,2,5,5,1,3,2,5,2,5,2,3,0,4,3,1,0
18,12,B0153,B,3,1,3,3,0,0,3,5,2,0,0,4,4,4,5,4,5,2,0,0,2,4,4,4,2,1,4,1,2,1,0,4,0,3,3,1,5,0,3,2,3,0,1,4,2,3,1,0,5,5,3,5,0,3,2,1,1,5
19,12,B0153,B,0,4,4,2,5,5,0,1,1,1,1,2,0,5,0,5,2,4,5,0,0,2,2,1,3,5,3,0,1,1,4,0,0,0,4,1,2,4,3,2,4,2,2,0,1,1,3,4,1,1,3,0,2,2,1,1,4,3
20,12,B0153,B,4,3,1,3,3,4,1,2,5,1,3,1,1,3,2,1,4,3,0,0,1,4,1,4,0,5,5,1,0,4,0,3,1,2,1,0,1,2,3,5,5,3,5,1,1,4,5,1,2,3,4,2,2,1,4,0,1,1
21,12,B0182,B,2,0,2,3,3,3,0,0,1,0,0,5,5,5,1,5,2,3,0,5,3,4,3,3,0,2,4,2,4,4,3,5,2,3,1,5,0,1,4,1,0,0,0,1,2,1,5,4,0,4,0,3,1,2,0,2,2,1
22,12,B0182,B,2,2,3,2,4,2,4,5,1,2,4,0,0,2,5,1,4,2,0,2,0,4,4,0,4,3,0,2,2,1,4,5,3,4,5,3,1,1,3,0,4,1,2,1,2,5,2,0,3,0,2,4,5,0,4,5,4,0
23,12,B0182,B,5,1,4,3,1,1,5,1,5,0,2,4,4,4,3,2,2,4,5,3,5,0,2,4,3,2,4,3,2,5,5,2,5,1,2,0,0,3,1,2,5,5,2,4,4,5,3,4,4,4,4,0,4,5,2,4,5,5
24,12,B0193,B,5,0,4,3,3,3,2,0,0,0,5,3,0,0,5,5,3,1,5,2,0,5,5,4,3,2,3,3,2,1,3,1,2,5,5,5,4,0,2,4,5,4,3,3,3,2,5,5,0,5,1,4,1,4,1,4,3,0
25,12,B0193,B,0,2,0,0,5,3,1,3,1,5,3,4,5,1,1,2,3,1,1,0,4,2,4,3,4,3,2,3,4,5,5,0,2,1,2,5,3,5,3,5,4,3,5,4,0,5,3,4,4,4,4,5,0,1,2,1,3,3
26,12,B0193,B,2,1,3,5,0,3,0,0,5,0,1,0,0,0,1,0,0,0,0,0,1,5,0,5,1,5,4,3,0,0,0,2,5,0,3,3,4,2,4,1,1,4,1,0,2,1,3,5,0,3,1,5,5,4,1,5,5,2
27,12,B0193,B,2,1,1,4,0,5,2,4,3,2,2,5,4,3,1,5,0,1,4,2,4,2,4,4,0,2,4,3,2,2,2,5,5,3,2,3,5,5,0,5,1,4,0,0,0,2,4,0,3,0,5,1,4,5,0,5,1,3
28,12,B0226,B,4,3,0,2,5,4,3,4,0,0,4,3,2,1,4,4,0,2,2,5,3,3,2,1,3,3,0,1,1,4,3,1,1,3,3,1,2,4,1,2,3,0,1,0,5,1,2,2,0,4,5,1,2,1,3,2,3,4
29,12,B0365,B,2,1,5,3,0,1,0,2,5,1,2,2,4,4,2,5,0,1,4,3,1,4,4,1,1,1,1,0,1,3,5,1,5,3,1,4,2,0,0,4,1,0,2,2,1,2,3,2,1,5,3,5,3,2,4,2,3,0
30,12,B0365,B,3,2,4,1,2,5,1,3,5,5,1,2,4,1,3,2,3,0,2,2,1,1,1,4,3,1,3,1,1,1,0,0,2,5,1,0,3,5,3,4,1,3,1,4,2,2,4,5,5,4,4,2,5,2,5,5,0,1
31,12,B0365,B,4,2,3,2,5,4,1,0,0,1,0,2,5,5,4,1,3,4,1,3,1,0,1,5,0,3,2,5,2,0,3,2,4,1,3,2,1,0,0,5,1,1,3,4,2,0,4,0,5,0,0,2,3,0,4,4,4,0
32,12,B0446,B,5,1,4,2,5,0,1,5,4,0,3,3,2,5,1,1,4,0,3,2,5,0,4,2,5,3,4,0,5,5,5,2,2,0,5,4,5,4,0,4,5,4,3,5,3,3,0,2,2,5,4,0,1,5,1,1,0,4
33,12,B0518,B,5,5,5,0,5,5,2,1,5,0,4,1,2,3,3,2,1,0,0,3,4,1,4,5,0,1,1,3,4,3,1,3,0,2,3,1,0,5,5,4,4,4,0,2,5,5,2,0,3,5,0,3,1,3,2,1,4,4
34,12,B0578,B,3,5,0,0,1,1,1,4,2,0,0,0,4,4,3,1,5,3,3,0,0,4,2,0,1,2,5,4,5,2,0,5,2,4,4,4,5,5,5,4,3,2,3,4,2,5,5,3,3,3,1,4,2,1,4,2,5,1
35,12,B0578,B,5,4,1,0,5,5,3,2,1,3,2,3,5,3,0,3,4,3,2,2,0,4,4,0,0,1,1,2,4,2,0,2,3,1,3,2,3,3,3,2,2,4,2,0,0,1,0,0,3,5,4,4,5,1,2,0,3,4
36,12,B0585,B,3,0,4,5,0,5,1,5,0,3,0,2,5,3,5,3,2,2,5,3,4,1,1,1,1,5,0,4,1,5,2,1,3,4,2,4,5,2,0,5,0,2,4,2,1,3,5,5,2,3,4,0,5,2,0,2,1,0
37,12,B0585,B,3,0,0,2,3,0,3,1,4,0,2,0,0,3,3,4,1,0,5,2,0,5,0,1,2,2,1,5,2,2,2,0,3,5,2,3,0,4,0,2,1,1,4,4,0,4,2,5,1,2,0,3,1,1,4,0,0,2
38,12,B0585,B,4,1,2,1,0,5,1,0,0,1,0,5,0,3,0,3,0,5,3,3,2,0,4,0,1,5,0,5,0,3,4,3,2,3,1,4,1,0,0,4,5,3,4,5,5,5,3,4,1,2,2,2,5,3,3,3,5,4
39,12,B0585,B,3,0,5,1,2,3,1,0,2,5,4,3,2,0,1,1,0,2,4,5,3,0,4,3,5,0,2,5,4,5,5,2,4,2,1,2,4,5,5,0,4,3,3,0,4,4,0,3,1,4,5,4,5,2,0,0,2,3
40,12,B0587,B,5,1,2,5,3,1,1,1,5,2,5,2,1,4,1,1,2,2,5,5,1,3,4,0,3,0,4,3,1,1,4,0,2,0,3,2,3,0,0,3,0,1,4,1,4,5,0,0,1,4,5,4,1,2,5,0,3,1
41,12,B0587,B,0,1,3,4,1,5,1,5,5,4,2,0,1,3,5,2,1,0,0,3,5,3,2,2,2,2,2,2,3,0,2,5,4,2,0,0,1,4,4,5,0,4,0,5,2,0,1,0,3,5,4,1,0,5,2,5,0,3
42,12,B0587,B,4,5,2,3,4,0,5,3,0,0,0,1,3,2,3,3,2,4,5,2,2,3,5,1,2,3,1,2,2,5,0,4,0,3,5,2,2,2,2,0,0,3,1,1,3,4,0,3,3,3,1,0,0,1,5,1,4,4
43,12,B0587,B,4,4,0,1,4,4,0,2,1,0,5,0,1,3,5,5,3,3,2,1,1,3,4,4,0,4,2,4,3,2,0,2,3,2,1,4,3,0,3,3,3,0,3,0,2,0,4,1,0,2,3,2,1,4,5,1,5,0
44,12,B0693,B,3,1,5,0,1,4,5,4,1,0,0,1,3,0,5,1,5,5,3,3,4,5,2,3,0,1,4,5,2,5,1,1,2,3,0,0,1,4,3,5,2,5,2,2,0,2,0,1,4,0,5,2,4,4,0,3,3,2
45,12,B0693,B,3,0,3,1,2,5,0,2,5,2,4,4,2,5,0,3,0,2,4,3,4,2,3,5,0,3,4,5,5,2,3,2,2,1,2,0,0,3,1,3,1,1,3,1,1,5,0,1,4,4,0,3,4,0,4,2,4,0
46,12,B0703,B,5,4,1,3,4,4,4,4,2,0,4,4,1,4,1,5,1,5,1,5,5,5,4,0,0,4,3,0,1,4,1,2,4,1,0,3,1,0,3,0,5,5,2,1,5,1,0,3,0,4,4,0,2,2,3,1,1,3
47,12,B0703,B,1,3,1,0,5,4,5,4,4,3,0,2,1,0,3,2,2,0,1,5,1,2,5,4,5,0,5,3,1,3,3,0,5,0,4,3,3,5,4,0,5,5,0,4,4,3,1,0,3,3,0,0,2,4,0,0,4,3
48,12,B0703,B,4,2,5,4,5,4,0,5,2,1,0,2,5,3,4,4,0,1,1,1,2,3,4,0,5,5,2,0,0,1,1,4,2,5,0,1,3,5,5,4,2,5,0,5,4,4,4,5,4,5,1,4,5,2,4,1,1,4
49,12,B0703,B,4,3,1,3,5,4,0,5,2,5,1,0,0,0,2,4,5,0,1,1,2,4,2,2,0,4,0,1,2,0,2,2,1,4,2,2,3,4,0,5,0,0,4,0,1,1,0,5,3,5,2,0,1,0,3,1,1,2
50,12,B0703,B,4,3,3,5,2,2,1,3,5,1,0,1,4,0,5,1,4,1,2,2,2,1,3,2,1,2,4,1,0,2,0,5,5,1,0,4,0,1,2,0,3,4,2,2,4,3,4,0,1,5,2,1,4,3,0,2,5,2
51,12,B0733,B,1,4,5,3,1,5,0,4,4,1,2,4,2,5,2,0,3,4,5,3,3,0,5,1,3,1,4,1,5,0,3,3,4,5,5,0,2,2,2,5,1,1,4,3,0,4,3,4,4,3,3,4,5,5,5,2,5,4
52,12,B0786,B,1,0,4,1,0,3,1,4,2,2,5,1,3,0,2,0,1,0,3,4,1,3,4,1,0,5,1,3,2,4,5,0,1,4,0,3,3,1,3,3,5,2,3,4,3,4,3,1,1,2,1,5,2,0,5,1,5,0
53,12,B0847,B,2,2,1,1,5,3,4,2,3,2,4,2,3,4,4,1,5,0,2,0,5,1,2,2,3,4,3,3,5,0,0,3,3,5,5,0,2,0,5,4,3,1,0,5,3,4,2,3,0,1,2,3,4,4,5,4,2,1
54,12,B0847,B,3,0,2,4,2,5,3,1,5,3,3,5,3,2,4,1,0,4,1,0,2,3,0,0,5,3,1,2,2,2,0,0,2,4,1,0,4,1,1,1,0,4,1,0,2,1,4,5,1,1,2,5,1,3,4,5,4,3
55,12,B0875,B,1,4,2,1,0,0,1,3,4,1,4,2,5,5,4,5,3,5,4,2,3,4,5,3,5,2,5,5,1,5,1,1,3,5,2,3,2,3,1,5,3,1,2,4,4,2,0,4,5,3,0,5,2,3,3,5,2,5
56,12,B0875,B,4,2,0,4,3,0,4,0,2,1,5,2,2,2,0,4,1,5,5,0,0,2,4,1,2,5,3,3,3,4,4,3,5,3,0,2,0,1,0,3,2,5,2,2,2,3,4,4,3,2,1,5,3,4,4,3,2,2
57,12,B0875,B,5,5,2,0,2,0,4,2,3,0,2,1,4,5,4,3,1,4,4,3,1,2,5,5,3,5,4,0,0,0,3,4,0,1,5,3,2,2,5,3,3,4,2,0,2,0,0,1,2,2,2,1,3,0,2,3,5,4
58,12,B0875,B,1,2,4,0,5,4,4,3,2,2,3,1,1,0,0,3,1,5,4,5,4,2,4,3,4,2,5,3,5,1,5,5,2,1,3,2,1,0,2,0,4,4,4,3,4,1,2,5,5,3,4,3,2,1,0,2,4,2
59,12,B0875,B,2,4,1,5,1,5,2,0,0,2,2,4,4,0,2,2,3,3,0,2,5,4,3,1,1,3,0,2,4,4,2,1,5,2,1,1,2,3,2,3,1,0,0,4,3,2,0,5,2,4,3,0,0,1,5,0,3,4
60,12,B0881,B,5,3,1,0,3,3,3,1,2,3,0,2,0,1,3,1,1,5,5,5,1,4,5,5,0,0,0,4,3,0,3,0,0,3,3,5,3,5,4,4,5,2,1,4,2,3,0,4,5,0,3,2,1,3,3,2,3,5
61,12,B0881,B,5,0,4,3,2,0,0,0,1,2,4,3,3,5,3,0,1,0,3,5,2,2,1,5,1,3,1,3,5,2,0,5,0,1,5,4,2,3,4,1,4,0,3,4,3,0,2,3,0,3,4,4,4,2,4,1,0,4
62,12,B0881,B,1,1,4,4,1,1,2,5,0,4,3,4,1,2,1,0,2,0,0,2,2,0,5,5,1,2,1,4,3,2,4,0,3,1,5,1,2,5,0,2,2,3,1,4,2,1,2,4,1,2,3,0,4,3,1,2,4,1
63,12,B0881,B,0,3,4,3,5,3,5,4,5,2,5,1,1,0,2,3,0,3,5,1,2,1,5,3,0,4,2,4,3,4,3,3,2,4,5,0,4,3,0,1,2,5,2,4,2,4,2,2,0,1,1,5,2,2,0,1,5,2
64,12,B0881,B,0,0,4,0,1,1,2,3,2,2,3,3,2,5,1,2,2,0,3,4,3,3,2,4,0,5,3,1,4,0,4,1,1,3,3,2,5,2,4,4,1,3,4,5,4,5,5,4,4,5,1,0,5,3,1,3,5,4
65,12,B0886,B,2,3,3,2,1,5,2,5,4,2,2,2,2,2,2,2,5,4,1,5,3,0,0,4,5,3,1,5,3,4,1,1,4,1,1,5,3,4,1,3,1,4,0,2,3,3,4,4,3,4,5,1,2,0,2,4,3,5
66,12,B0886,B,0,0,4,0,2,0,0,4,3,2,0,3,1,0,0,0,2,1,4,3,3,2,0,1,0,4,1,3,4,5,2,1,3,3,5,2,0,0,2,3,2,2,5,5,3,0,5,2,5,1,3,2,3,2,4,3,4,0
67,12,B0886,B,0,1,5,3,5,3,1,5,2,0,0,5,1,0,2,5,3,2,1,5,4,1,3,3,0,3,4,4,4,2,3,4,0,2,3,3,5,3,3,4,1,5,5,5,0,2,5,0,2,2,1,3,0,0,0,5,1,0
68,12,B0929,B,4,5,5,2,3,1,3,4,2,5,4,3,1,0,0,5,1,4,0,3,5,0,5,4,2,1,0,3,1,1,0,1,4,2,2,1,2,4,0,1,4,5,3,4,4,3,2,2,4,2,4,1,5,1,2,0,4,0
69,12,B0929,B,0,5,0,5,3,1,3,4,5,1,2,5,2,5,2,2,3,5,4,3,1,1,2,1,3,3,4,3,5,4,3,2,2,3,5,1,1,0,2,5,5,1,2,5,2,1,4,1,4,1,0,5,3,4,3,3,2,4
70,12,B0929,B,3,3,3,1,4,0,4,2,2,3,0,5,5,3,4,2,4,1,4,2,1,4,0,5,5,3,3,3,3,1,1,4,3,4,0,5,0,1,1,5,0,2,5,3,0,5,4,5,1,1,3,2,1,2,2,3,4,0
71,12,B0929,B,5,4,1,1,3,1,1,2,0,4,4,2,3,2,1,1,4,0,1,0,0,1,5,4,0,2,0,1,5,1,2,3,1,5,2,4,0,0,3,4,5,3,3,3,0,0,4,5,0,5,5,1,1,1,0,4,2,4
72,12,B0929,B,5,0,5,4,1,5,3,0,2,4,5,2,3,0,4,3,3,0,3,1,4,1,1,3,2,4,1,0,5,1,2,2,3,1,1,1,4,3,0,4,1,1,4,4,3,0,4,1,1,2,2,0,2,5,5,0,1,0
73,12,B1028,B,1,0,4,4,4,3,4,2,5,4,1,2,1,1,2,1,1,4,0,3,1,2,0,3,3,5,5,2,2,2,1,3,1,2,2,2,4,4,1,2,5,5,3,4,1,3,0,1,0,3,3,2,1,1,3,2,4,0
74,12,B1028,B,2,0,1,4,4,4,1,4,2,4,3,1,5,2,5,2,3,2,5,3,2,0,2,4,5,1,2,4,1,0,0,3,0,4,0,4,5,4,4,5,4,3,0,0,1,0,5,2,4,4,5,0,2,5,3,4,2,0
75,12,B1028,B,2,1,0,0,3,4,1,3,4,0,5,0,3,3,0,1,5,0,0,1,2,1,0,2,3,5,2,2,3,1,4,4,2,2,2,0,2,5,1,1,4,5,2,0,0,1,4,1,1,0,1,0,3,1,0,1,3,3
76,12,B1035,B,1,3,1,1,5,3,1,5,5,4,5,0,0,5,1,5,1,2,1,3,1,5,3,4,5,3,2,5,5,3,0,5,4,4,0,3,2,0,1,3,2,0,0,0,4,4,2,5,5,2,4,1,2,5,3,0,4,4
77,12,B1115,B,2,5,5,2,3,4,5,5,0,2,3,2,5,0,4,2,5,1,1,4,4,0,3,1,5,0,2,2,2,0,1,0,0,4,4,2,0,1,5,1,0,3,1,4,5,5,3,1,5,5,2,4,4,2,3,1,0,2
78,12,B1115,B,5,0,2,0,5,2,4,3,4,2,3,5,5,3,4,2,0,1,2,4,0,1,3,1,1,2,1,1,1,3,5,5,3,5,0,4,0,5,1,5,5,1,0,0,3,4,1,3,4,1,0,0,5,2,1,0,5,2
79,12,B1115,B,0,2,0,3,4,0,1,2,2,0,5,4,1,5,1,5,5,4,2,3,5,0,4,2,0,3,5,2,0,4,3,3,5,3,5,1,5,1,0,3,5,1,0,4,3,2,0,2,1,0,1,3,2,5,5,5,0,5
80,12,B1115,B,2,0,3,1,4,1,0,4,2,5,5,4,1,2,2,2,4,0,2,2,2,0,2,2,2,4,0,0,5,5,4,1,3,2,1,2,4,0,0,4,0,1,5,5,1,0,1,5,1,3,2,3,4,2,1,5,1,4
81,12,B1115,B,1,1,1,1,4,3,0,5,5,1,4,0,0,5,2,0,2,1,3,0,2,0,5,3,2,0,5,4,1,5,0,4,4,3,4,4,2,2,5,3,3,4,2,3,0,2,2,4,4,4,1,4,5,2,2,4,2,0
82,12,B1141,B,5,4,3,2,1,1,2,2,4,1,0,4,3,5,1,2,1,0,2,5,5,3,0,1,0,0,0,5,5,3,2,2,3,5,5,5,3,5,0,1,5,3,4,1,3,5,3,5,3,3,3,2,0,5,2,5,5,0
83,12,B1141,B,0,3,0,0,1,2,2,2,4,0,4,5,4,4,0,3,2,2,0,4,4,1,2,3,1,5,2,5,4,4,3,4,2,2,5,2,2,0,2,5,2,5,3,0,1,1,5,1,5,3,0,4,0,1,4,3,4,4
84,12,B1144,B,4,0,1,0,2,4,4,0,1,5,2,4,4,4,0,4,4,0,1,1,3,0,2,2,2,5,1,1,2,5,0,0,3,1,3,1,0,1,2,2,4,3,1,1,1,2,0,3,2,3,4,0,5,5,0,0,1,4
85,12,B1144,B,5,0,5,4,5,4,3,1,2,0,2,5,3,1,4,0,1,4,2,1,0,0,3,2,5,4,1,5,4,1,0,0,4,5,4,2,2,3,4,2,5,5,4,1,0,0,0,4,0,3,3,0,0,3,4,0,5,3
86,12,B1144,B,1,2,1,2,2,2,2,4,0,2,2,4,0,2,4,3,2,0,4,0,0,3,3,5,1,5,2,2,4,5,5,2,3,3,2,2,3,2,4,5,2,0,2,5,2,1,3,5,2,5,2,5,2,5,3,1,4,2
87,12,B1147,B,3,4,4,1,2,5,1,1,0,3,1,0,0,1,2,1,4,1,0,4,4,1,4,3,5,1,5,1,1,5,1,3,1,1,4,2,5,4,1,1,4,0,0,3,1,1,1,1,4,2,2,4,4,1,5,4,5,0
88,12,B1221,B,5,1,4,2,1,1,0,3,2,0,4,3,2,4,4,3,4,0,4,1,4,1,3,3,1,2,4,2,4,0,1,2,0,4,2,1,0,2,0,1,5,3,4,4,0,4,2,2,0,2,4,0,5,1,3,0,4,3
89,12,B1231,B,5,5,0,2,5,3,3,5,3,2,5,5,5,3,5,1,4,4,2,5,5,5,1,2,5,0,4,4,5,2,5,0,3,4,3,4,3,0,4,1,3,4,4,1,3,2,2,2,0,5,0,4,0,1,3,0,4,1
90,12,B1258,B,0,0,5,5,3,4,2,5,2,4,4,5,1,3,5,3,2,2,3,2,3,1,4,5,2,3,2,4,0,5,2,0,2,5,4,5,3,2,2,2,3,3,1,2,5,3,2,5,0,1,3,2,0,2,1,4,1,2
91,12,B1258,B,3,2,0,3,2,2,3,2,0,5,1,3,3,2,1,4,3,3,5,0,2,2,2,4,3,0,1,1,4,3,1,0,3,2,3,4,0,3,4,5,4,0,1,2,5,2,3,3,0,5,0,1,4,1,2,3,3,3
92,12,B1258,B,1,3,4,3,4,5,0,2,2,2,3,4,0,3,4,3,0,3,5,3,0,3,0,1,4,0,5,5,2,4,3,5,0,2,1,4,3,0,4,3,2,3,4,2,2,5,0,5,5,1,2,4,0,3,2,0,5,5
93,12,B1258,B,1,2,2,4,1,4,2,0,1,5,1,3,2,0,3,0,0,2,0,2,2,0,3,5,0,3,3,2,5,2,4,0,5,1,4,2,0,1,4,5,0,4,3,0,4,5,3,1,2,2,0,2,3,0,4,1,4,3
94,12,B1258,B,0,5,1,3,1,4,3,1,4,1,2,3,5,2,5,5,2,5,0,2,2,0,3,2,2,3,0,1,1,1,1,4,4,2,1,1,0,1,3,2,1,0,2,0,5,5,4,1,3,4,1,2,1,1,1,1,4,2
95,12,B1306,B,3,5,0,5,1,0,1,0,2,1,0,4,3,5,2,0,0,3,5,4,4,4,5,5,2,3,2,5,5,1,2,2,0,3,1,2,0,3,3,3,5,1,1,1,2,0,2,1,4,4,4,5,5,1,2,4,0,1
96,12,B1306,B,4,3,1,2,0,2,4,0,2,4,0,2,4,0,1,4,3,0,3,3,3,0,0,4,0,3,5,3,2,0,0,4,4,3,5,1,4,2,4,2,3,1,5,3,5,1,5,5,3,5,3,1,3,1,4,1,5,0
97,12,B1306,B,0,0,4,3,4,5,5,5,3,2,2,3,2,0,1,1,3,5,3,3,5,4,5,3,4,1,3,3,3,2,0,5,1,2,1,2,1,2,2,5,3,3,1,1,4,5,2,2,2,4,2,0,5,3,2,1,4,0
98,12,B1306,B,0,0,0,0,1,4,1,3,0,5,1,4,2,5,5,3,5,5,3,0,1,2,1,5,0,1,4,0,4,3,3,4,0,3,2,0,2,1,2,2,3,1,1,4,5,5,4,5,1,1,5,2,3,4,4,4,1,1
99,12,B1306,B,5,2,0,3,1,2,0,1,4,3,1,2,3,3,2,4,1,1,1,0,2,5,0,1,0,5,2,5,1,1,4,4,0,0,5,4,0,0,5,5,1,2,0,1,0,3,1,2,1,1,2,2,2,2,2,5,0,3
