S. No.,Message_body,Label,sender,receivers,month,to_L,to_T
1,Rofl. Its true to its name,Non-Spam,B0004,B7787,1,0,0
2,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,Non-Spam,B0071,B7812,1,0,0
3,"Pity, * was in mood for that. So...any other suggestions?",Non-Spam,B0078,B7829,1,0,0
4,Will � b going to esplanade fr home?,Non-Spam,B0082,B7831,1,0,0
5,"This is the 2nd time we have tried 2 contact u. U have won the �750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",Spam,B0115,B7852,1,0,0
6,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",Spam,B0153,B7854,1,0,0
7,Huh y lei...,Non-Spam,B0182,B7977,1,0,0
8,Why don't you wait 'til at least wednesday to see if you get your .,Non-Spam,B0193,B7983,1,0,0
9,Ard 6 like dat lor.,Non-Spam,B0216,B8002,1,0,0
10,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,Non-Spam,B0226,B8090,1,0,0
11,Get me out of this dump heap. My mom decided to come to lowes. BORING.,Non-Spam,B0365,B8157,1,0,0
12,Anything lor. Juz both of us lor.,Non-Spam,B0446,B8161,1,0,0
13,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit,Non-Spam,B0518,B8167,1,0,0
14,"Sorry, I'll call later",Non-Spam,B0578,B8205,1,0,0
15,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,Non-Spam,B0585,B8210,1,0,0
16,Yes i have. So that's why u texted. Pshew...missing you so much,Non-Spam,B0587,B8282,1,0,0
17,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,Non-Spam,B0693,B8299,1,0,0
18,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,Non-Spam,B0703,B8341,1,0,0
19,Hahaha..use your brain dear,Non-Spam,B0733,B8460,1,0,0
20,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,Non-Spam,B0786,B8477,1,0,0
21,Wen did you get so spiritual and deep. That's great,Non-Spam,B0847,B8559,1,0,0
22,"Cool, what time you think you can get here?",Non-Spam,B0875,B8565,1,0,0
23,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",Non-Spam,B0881,B8594,1,0,0
24,"No, I was trying it all weekend ;V",Non-Spam,B0886,B8704,1,0,0
25,Ic. There are a lotta childporn cars then.,Non-Spam,B0899,B8723,1,0,0
26,Hi its in durban are you still on this number,Non-Spam,B0929,B8748,1,0,0
27,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",Non-Spam,B1028,B8771,1,0,0
28,U still havent got urself a jacket ah?,Non-Spam,B1035,B8890,1,0,0
29,Armand says get your ass over to epsilon,Non-Spam,B1115,B8896,1,0,0
30,Yeah it's jus rite...,Non-Spam,B1141,B8936,1,0,0
31,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O �250 3 WANT �800,Spam,B1144,B8943,1,0,0
32,Just sleeping..and surfing,Non-Spam,B1147,B8954,1,0,0
33,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,Non-Spam,B1199,B9024,1,0,0
34,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,Spam,B1221,B9111,1,0,0
35,Aiyah ok wat as long as got improve can already wat...,Non-Spam,B1231,B9122,1,0,0
36,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",Non-Spam,B1258,B9137,1,0,0
37,Ok which your another number,Non-Spam,B1306,B9157,1,0,0
38,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",Non-Spam,B1338,B9184,1,0,0
39,happened here while you were adventuring,Non-Spam,B1371,B9252,1,0,0
40,Compliments to you. Was away from the system. How your side.,Non-Spam,B1389,B9258,1,0,0
41,I think that tantrum's finished so yeah I'll be by at some point,Non-Spam,B1399,B9318,1,0,0
42,What about this one then.,Non-Spam,B1404,B9328,1,0,0
43,Its just the effect of irritation. Just ignore it,Non-Spam,B1455,B9344,1,0,0
44,"Total disappointment, when I texted you was the craziest shit got :(",Non-Spam,B1457,B9490,1,0,0
45,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,Spam,B1514,B9502,1,0,0
46,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,Non-Spam,B1575,B9584,1,0,0
47,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p�3.99,Spam,B1584,B9586,1,0,0
48,Going to join tomorrow.,Non-Spam,B1588,B9607,1,0,0
49,Thats cool. I want to please you...,Non-Spam,B1653,B9624,1,0,0
50,You are a big chic. Common. Declare,Non-Spam,B1654,B9692,1,0,0
51,No. I dont want to hear anything,Non-Spam,B1717,B9705,1,0,0
52,Can you pls send me that company name. In saibaba colany,Non-Spam,B1751,B9710,1,0,0
53,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",Non-Spam,B1776,B9726,1,0,0
54,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,Non-Spam,B1785,B9801,1,0,0
55,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",Non-Spam,B1806,L0039,1,0,0
56,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,Non-Spam,B1817,L0080,1,0,0
57,Oh... Okie lor...We go on sat... ,Non-Spam,B1845,L0105,1,0,0
58,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,Non-Spam,B1874,L0125,1,0,0
59,"Just making dinner, you ?",Non-Spam,B1875,L0132,1,0,0
60,"It�s reassuring, in this crazy world.",Non-Spam,B1878,L0146,1,0,0
61,I went to project centre,Non-Spam,B1921,L0205,1,0,0
62,Lol they were mad at first but then they woke up and gave in.,Non-Spam,B1971,L0235,1,0,0
63,"Machan you go to gym tomorrow,  i wil come late goodnight.",Non-Spam,B2006,L0240,1,0,0
64,I want to be inside you every night...,Non-Spam,B2009,L0242,1,0,0
65,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,Non-Spam,B2102,L0265,1,0,0
66,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,Non-Spam,B2193,L0266,1,0,0
67,Wait . I will msg after  &lt;#&gt;  min.,Non-Spam,B2209,L0310,1,0,0
68,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",Non-Spam,B2235,L0405,1,0,0
69,Apo all other are mokka players only,Non-Spam,B2280,L0444,1,0,0
70,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,Spam,B2299,L0484,1,0,0
71,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,Non-Spam,B2320,L0514,1,0,0
72,Now get step 2 outta the way. Congrats again.,Non-Spam,B2332,L0519,1,0,0
73,Why did I wake up on my own &gt;:(,Non-Spam,B2353,L0526,1,0,0
74,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",Spam,B2373,L0548,1,0,0
75,Yes... I trust u to buy new stuff ASAP so I can try it out,Non-Spam,B2379,L0554,1,0,0
76,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",Non-Spam,B2385,L0565,1,0,0
77,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",Non-Spam,B2474,L0590,1,0,0
78,I think if he rule tamilnadu..then its very tough for our people.,Non-Spam,B2499,L0641,1,0,0
