"month","name","bank","acquired","tenure","title_status","male","rating","branch_id"
1,"B0004","B",0,2.68309377138946,1,0,NA,"1"
1,"B0071","B",0,2.68309377138946,1,0,NA,"2"
1,"B0078","B",0,6.85284052019165,0,0,NA,"3"
1,"B0082","B",0,2.68309377138946,0,0,NA,"4"
1,"B0115","B",0,2.68309377138946,0,0,NA,"1"
1,"B0153","B",0,4.35865845311431,1,1,3.27,"3"
1,"B0182","B",0,5.0321697467488,0,0,NA,"3"
1,"B0193","B",0,2.53798767967146,0,1,NA,"3"
1,"B0226","B",0,0.796714579055442,1,0,NA,"5"
1,"B0365","B",0,2.13552361396304,0,0,NA,"6"
1,"B0446","B",0,5.15811088295688,1,0,NA,"7"
1,"B0518","B",0,2.68309377138946,0,0,NA,"8"
1,"B0578","B",0,0.947296372347707,0,0,2.9,"9"
1,"B0585","B",0,0.2217659137577,0,0,NA,"9"
1,"B0587","B",0,1.98220396988364,1,1,NA,"10"
1,"B0693","B",0,0.9637234770705,2,1,NA,"3"
1,"B0703","B",0,0.867898699520876,0,0,NA,"6"
1,"B0733","B",0,0.240930869267625,0,0,NA,"8"
1,"B0786","B",0,1.15811088295688,0,1,3,"3"
1,"B0847","B",0,3.80561259411362,0,0,NA,"11"
1,"B0875","B",0,8.04106776180698,1,0,3.66,"3"
1,"B0881","B",0,1.83162217659138,1,1,NA,"12"
1,"B0886","B",0,2.54893908281999,0,0,NA,"8"
1,"B0929","B",0,9.73853524982888,1,0,NA,"13"
1,"B1028","B",0,1.54140999315537,0,1,NA,"10"
1,"B1035","B",0,2.61738535249829,0,0,NA,"3"
1,"B1115","B",0,2.68309377138946,0,0,NA,"10"
1,"B1141","B",0,2.68309377138946,0,0,NA,"10"
1,"B1144","B",0,0.542094455852156,1,1,NA,"3"
1,"B1147","B",0,2.68309377138946,0,0,NA,"10"
1,"B1221","B",0,2.68309377138946,2,0,NA,"1"
1,"B1231","B",0,2.68309377138946,0,0,NA,"1"
1,"B1258","B",0,0.700889801505818,0,0,NA,"12"
1,"B1306","B",0,3.40041067761807,1,0,NA,"6"
