,month,sender,bank,n.terms,Achiev,Adverbs,Affect,Anger,Anx,Article,Assent,AuxVb,Body,Cause,Certain,Conj,Death,Discrep,Excl,Family,Feel,Filler,Friends,Future,Health,Hear,Home,Humans,I,Incl,Ingest,Inhib,Insight,Ipron,Leisure,Money,Motion,Negate,Negemo,Nonflu,Numbers,Past,Percept,Posemo,Prep,Present,Quant,Relig,Sad,See,Sexual,SheHe,Social,Space,Swear,Tentat,They,Time,We,Work,You
398,1,B5167,B,9,0,8,0,2,5,9,9,6,7,6,4,6,1,0,8,2,9,0,2,7,8,6,4,5,1,5,7,9,7,3,0,4,6,9,2,3,3,9,2,5,0,5,2,9,6,5,8,2,8,9,4,8,4,7,9,3,7
324,1,L0845,L,40,7,2,2,6,9,1,7,7,2,4,7,3,0,1,6,0,8,8,7,0,0,3,8,2,9,7,1,1,6,7,6,2,4,3,1,8,3,9,9,4,8,1,5,0,5,8,1,1,6,8,9,2,1,4,0,4,5
167,1,B5523,B,94,6,5,1,8,7,0,9,6,7,3,7,0,0,0,1,0,1,8,0,5,4,2,1,7,6,7,0,3,0,3,8,3,0,6,5,5,7,3,1,1,4,9,1,3,6,8,9,9,6,0,1,5,6,2,4,7,7
129,1,B4406,B,38,1,7,6,0,7,6,4,4,9,2,8,6,1,0,4,0,5,9,7,1,9,4,1,5,5,5,3,9,0,4,2,1,9,9,8,2,5,7,1,5,1,6,0,8,7,6,7,3,8,2,1,9,8,6,4,7,0
299,1,L0132,L,61,5,5,0,0,3,4,1,3,3,7,1,6,0,0,2,8,1,0,3,3,9,7,1,8,1,8,5,8,8,5,5,8,6,8,9,2,4,7,2,8,0,8,0,3,7,3,1,2,3,7,1,5,7,6,1,5,3
270,1,B8936,B,70,3,4,0,3,0,9,3,4,0,4,1,7,1,0,5,7,9,4,7,9,1,1,5,8,3,4,9,1,1,9,1,4,1,3,5,7,6,7,4,8,4,4,3,0,9,6,9,3,7,8,6,4,0,8,4,8,5
187,1,B6195,B,22,5,9,4,3,4,2,7,9,8,4,0,2,0,1,2,2,9,7,2,6,8,8,9,2,8,3,5,1,9,9,7,8,7,2,6,9,7,3,8,3,7,1,3,4,5,9,9,9,1,9,5,9,0,3,5,8,7
307,1,L0310,L,41,1,4,4,5,9,6,8,8,4,9,0,3,0,0,8,9,5,1,6,0,6,0,9,5,2,4,2,6,4,6,5,1,3,1,4,1,0,7,5,2,8,6,6,9,1,0,3,1,7,6,0,9,8,2,7,0,8
85,1,B2742,B,37,7,0,8,1,5,8,5,0,8,8,2,4,1,1,1,1,1,3,3,3,3,0,7,3,6,1,4,1,8,0,0,5,5,6,4,2,4,6,6,6,9,1,5,7,4,2,1,3,4,3,2,7,9,4,7,7,0
277,1,B9157,B,63,9,4,3,6,5,8,8,6,9,8,5,3,1,1,9,0,1,2,1,2,4,7,6,7,4,8,4,9,8,1,2,2,1,6,1,3,4,5,0,6,4,9,5,1,0,7,3,8,5,8,1,8,2,7,0,1,0
362,1,L2187,L,41,3,5,1,0,7,2,4,2,5,5,4,4,1,0,3,0,8,8,9,5,4,3,0,1,5,4,5,2,4,2,8,2,6,0,5,9,0,3,6,1,8,8,3,5,0,0,1,1,1,7,5,5,8,3,6,7,7
330,1,L0982,L,34,3,1,6,9,6,9,1,8,4,4,8,6,0,0,4,0,2,1,9,1,3,9,3,1,4,9,4,5,3,4,4,9,9,5,2,8,4,2,3,9,4,0,2,8,2,6,7,8,7,3,3,6,2,4,5,9,0
263,1,B8594,B,34,3,5,4,0,1,4,9,1,9,3,0,1,0,1,5,2,6,1,7,7,2,8,2,6,8,0,4,8,9,7,8,3,4,2,1,0,0,1,8,3,4,3,9,9,2,8,4,7,3,0,2,2,4,6,5,5,2
329,1,L0935,L,27,6,9,3,0,2,6,9,4,3,7,2,9,0,0,3,2,4,1,3,9,4,9,2,1,6,8,1,2,5,6,3,2,3,4,0,6,6,9,2,5,9,5,8,2,1,1,7,7,9,3,1,0,0,1,2,7,8
79,1,B2532,B,9,8,0,2,4,1,7,1,0,6,4,5,7,0,0,5,8,6,8,5,6,9,2,3,4,4,2,1,0,5,7,8,0,4,5,0,4,8,7,7,9,7,3,1,3,7,8,0,1,0,3,2,8,0,5,8,8,0
213,1,B6946,B,25,5,5,7,0,5,5,7,1,5,8,9,8,1,1,8,3,5,4,7,2,6,5,8,0,4,0,2,4,4,2,7,1,5,8,3,1,3,1,5,8,3,6,7,5,3,8,7,2,4,0,2,9,8,6,4,3,3
37,1,B1306,B,5,4,0,9,1,3,0,0,4,4,7,5,4,1,0,3,6,4,4,3,8,2,7,8,0,0,6,5,4,9,8,2,4,1,2,9,6,3,9,5,0,9,7,7,1,4,3,3,4,4,6,7,1,4,1,3,2,4
105,1,B3481,B,87,0,2,9,5,8,5,1,7,1,5,7,5,0,0,2,0,5,4,6,0,8,5,4,6,3,9,2,3,5,3,0,7,6,6,4,3,9,0,0,7,7,6,4,9,4,4,6,9,7,3,4,0,4,6,5,9,4
217,1,B7096,B,35,7,7,7,5,1,9,4,3,8,2,5,8,0,0,1,5,0,2,3,6,7,6,7,4,2,8,5,0,8,9,5,2,6,8,4,9,0,3,6,8,0,3,5,4,2,2,6,2,3,1,7,3,1,4,5,9,3
366,1,B7179,B,20,2,5,6,3,6,8,7,5,4,6,6,6,1,0,3,7,8,2,4,7,2,5,3,0,5,9,3,7,3,4,2,3,8,7,1,6,1,2,8,1,5,4,8,4,3,5,9,6,3,6,6,2,6,3,1,3,6
165,1,B5471,B,71,8,3,9,7,9,7,5,5,7,7,5,0,1,0,0,2,8,6,9,1,8,1,5,3,2,0,1,7,8,7,2,6,5,3,1,9,1,5,3,8,7,7,7,8,6,5,2,3,1,4,7,5,0,4,9,2,2
290,1,B9692,B,97,6,7,5,1,9,8,6,5,0,7,4,6,0,0,8,0,4,0,1,6,0,7,7,8,3,2,8,6,4,2,8,4,2,7,0,6,1,0,6,8,7,8,6,1,3,5,6,9,4,1,2,2,9,3,1,3,8
396,1,B4387,B,38,7,1,5,2,1,0,6,0,3,6,0,1,1,1,9,3,0,9,1,4,1,1,7,2,7,1,0,9,6,0,2,4,4,0,8,0,6,2,4,1,8,7,7,8,7,6,9,3,8,0,7,7,0,0,7,2,7
382,1,B7739,B,59,0,3,4,9,7,3,5,8,7,4,3,0,1,1,2,5,7,5,6,9,3,9,8,8,9,4,7,2,6,1,3,5,3,3,6,2,4,9,8,3,8,4,4,3,6,0,5,9,3,5,8,4,0,0,6,8,4
89,1,B2786,B,89,0,0,8,6,4,0,9,6,9,9,2,8,0,0,0,9,3,2,9,8,7,7,6,9,4,4,3,4,8,7,8,6,9,2,6,5,1,8,3,5,3,6,9,4,9,9,7,0,7,2,2,1,3,7,3,9,8
289,1,B9624,B,9,4,1,8,1,8,2,0,5,9,5,2,8,0,1,7,4,4,0,5,5,0,4,7,3,9,0,4,7,2,5,1,9,1,0,1,0,0,0,6,5,9,0,0,0,4,1,3,3,4,2,9,7,3,9,9,1,6
