"","month","sender","bank","n.terms","Achiev","Adverbs","Affect","Anger","Anx","Article","Assent","AuxVb","Body","Cause","Certain","Conj","Death","Discrep","Excl","Family","Feel","Filler","Friends","Future","Health","Hear","Home","Humans","I","Incl","Ingest","Inhib","Insight","Ipron","Leisure","Money","Motion","Negate","Negemo","Nonflu","Numbers","Past","Percept","Posemo","Prep","Present","Quant","Relig","Sad","See","Sexual","SheHe","Social","Space","Swear","Tentat","They","Time","We","Work","You"
"167",1,"B6628","B",27,9,9,6,6,9,0,8,0,9,8,2,9,3,9,8,4,6,8,1,5,9,4,3,2,0,8,0,0,2,8,1,7,6,8,1,6,9,0,4,0,7,0,3,4,8,9,0,7,8,9,8,8,7,4,5,3,7
"129",1,"B5197","B",27,5,8,4,2,1,3,0,1,8,4,7,5,0,7,8,2,9,7,3,1,1,5,8,3,7,7,9,6,4,2,3,3,7,9,0,4,1,6,8,0,7,4,3,3,2,3,9,5,3,9,4,0,8,2,3,0,1
"187",1,"B7514","B",48,0,4,1,8,8,5,6,9,8,3,7,4,8,4,2,7,9,5,8,6,7,9,5,4,3,4,3,0,1,3,4,4,5,7,2,4,8,7,8,7,1,5,4,4,2,9,2,1,7,4,9,4,7,1,2,5,5
"85",1,"B3447","B",78,8,3,0,9,0,3,9,2,1,9,0,1,8,5,1,3,0,9,0,4,9,6,5,5,4,5,9,3,4,7,1,4,1,9,5,7,7,4,6,0,8,2,6,9,9,7,2,7,4,4,5,7,3,0,1,9,8
"263",1,"B3521","B",4,1,0,5,6,7,6,7,6,4,3,9,0,3,3,5,0,5,6,8,8,6,9,7,4,7,2,7,5,9,8,5,0,6,6,5,6,8,4,0,2,5,0,8,8,1,2,5,7,6,9,6,4,1,9,6,0,9
"79",1,"B3063","B",50,6,9,0,7,6,9,6,8,5,8,6,9,2,6,2,9,1,7,6,2,2,9,3,4,6,1,4,1,7,7,9,2,4,3,0,5,4,7,8,0,0,1,4,0,5,4,2,4,3,5,2,5,4,4,1,4,8
"213",1,"B8341","B",48,1,1,7,5,5,3,7,5,1,6,2,4,2,9,8,8,6,9,8,7,9,6,2,9,0,7,7,8,0,3,6,7,4,6,4,3,9,2,4,1,0,5,7,4,0,5,8,9,8,8,8,9,6,4,9,2,3
"37",1,"B1575","B",54,1,1,1,8,6,5,3,0,3,4,0,8,4,0,5,6,1,7,8,4,3,7,0,9,0,5,7,4,5,1,7,7,8,2,1,9,2,9,9,9,3,6,7,2,4,2,7,1,2,1,4,6,7,5,6,9,5
"105",1,"B4270","B",2,0,2,7,6,0,5,5,5,7,0,0,1,7,4,4,4,3,3,9,6,7,5,2,6,1,2,7,7,8,7,9,3,1,5,0,9,6,2,2,1,4,1,6,5,1,8,5,3,3,6,2,3,4,6,1,9,1
"217",1,"B8565","B",81,5,9,4,7,0,2,3,1,0,8,7,8,6,3,2,9,3,9,6,5,4,0,7,0,7,5,0,6,6,4,3,3,6,0,1,8,7,6,7,7,1,2,9,6,5,3,7,2,0,7,0,1,8,3,0,1,0
"165",1,"B6574","B",66,2,2,6,7,0,6,8,0,8,1,6,4,8,4,4,4,1,1,8,9,2,6,1,9,2,2,0,0,5,0,0,9,2,9,3,4,7,7,6,2,4,9,4,8,7,4,3,5,9,7,6,7,6,8,1,9,7
"89",1,"B3753","B",24,9,6,7,4,8,1,8,5,5,9,8,9,4,1,0,0,7,6,7,8,5,2,0,3,8,1,0,5,3,9,5,6,8,3,7,1,0,1,5,7,6,5,1,8,8,4,8,9,9,8,5,4,3,2,4,9,6
"42",1,"B1751","B",2,8,8,1,4,0,2,8,8,0,2,5,3,6,5,3,4,5,7,3,4,4,2,9,5,0,8,9,3,3,1,9,1,1,6,5,3,7,9,9,7,9,0,8,3,4,5,6,6,4,2,4,2,5,6,5,0,3
"166",1,"B6623","B",23,8,3,1,9,0,6,7,8,4,2,1,8,5,7,3,4,0,4,1,5,7,3,7,9,4,5,5,1,2,7,5,6,9,0,0,4,4,0,1,4,1,8,5,0,5,8,3,6,8,4,9,1,1,0,8,2,9
"111",1,"B4462","B",61,3,1,5,2,5,6,7,0,4,7,9,7,9,7,8,9,2,6,5,0,2,7,4,1,4,7,4,5,9,0,6,9,4,6,0,0,1,3,6,5,1,5,6,1,1,4,3,9,8,6,1,8,4,4,3,6,5
"148",1,"B5910","B",40,2,9,2,9,3,1,0,0,1,8,0,5,3,2,1,8,2,2,3,8,7,7,0,0,2,7,5,3,8,0,2,5,8,2,2,0,1,9,3,8,7,2,9,4,9,9,3,7,8,8,4,0,1,2,6,5,0
"156",1,"B6276","B",17,3,7,5,6,9,0,2,9,8,2,7,4,9,2,2,8,8,6,8,3,1,1,2,9,0,1,1,3,0,3,2,7,1,7,1,2,9,7,1,3,5,0,2,6,7,4,3,9,9,6,4,3,5,3,7,9,4
"20",1,"B0881","B",85,7,6,2,7,2,8,1,8,5,9,8,6,1,2,6,7,4,8,6,7,4,7,2,6,4,3,2,6,2,4,9,3,6,3,2,8,7,5,8,5,6,4,5,1,4,9,3,8,9,9,5,4,6,8,3,9,8
"250",1,"B3309","B",2,4,9,4,8,3,5,3,9,3,7,3,8,3,7,5,7,9,8,2,5,3,0,3,8,6,9,2,6,4,3,0,7,7,9,3,7,9,3,5,9,6,5,4,4,3,1,5,2,4,6,7,2,9,7,4,1,4
"44",1,"B1785","B",62,4,7,7,0,4,6,0,8,3,0,7,0,3,7,1,9,4,5,6,6,1,8,9,9,1,3,5,6,8,8,8,1,7,7,4,9,8,7,9,6,9,4,2,7,1,4,5,6,2,1,0,9,0,6,1,9,6
"121",1,"B4980","B",55,7,2,9,5,4,7,3,2,8,5,9,0,8,9,4,6,1,6,7,6,3,0,9,9,8,5,4,1,4,4,7,1,3,1,3,3,6,7,5,4,5,7,1,9,5,9,2,9,4,8,1,1,7,2,2,7,7
"87",1,"B3532","B",85,1,4,7,7,1,2,4,6,7,5,6,6,3,5,7,7,3,0,5,7,8,8,5,7,0,5,6,3,6,2,3,0,5,2,3,1,9,2,8,6,5,3,2,7,1,5,1,9,8,9,3,1,8,7,6,3,2
"70",1,"B2754","B",23,3,3,0,9,6,3,4,0,0,5,7,5,1,7,1,3,7,9,9,6,2,6,1,3,2,0,1,9,3,6,5,8,5,1,2,2,8,7,3,7,5,5,1,8,5,6,8,2,0,5,9,2,0,9,2,4,7
"249",1,"B3061","B",4,1,6,6,2,0,0,6,6,8,5,6,3,4,9,4,6,5,5,5,6,5,6,3,5,3,5,2,2,9,4,2,0,2,8,9,4,4,5,2,6,3,0,4,8,5,9,8,1,1,2,1,8,3,6,8,6,9
"40",1,"B1654","B",19,8,5,1,1,0,4,3,2,6,3,9,6,7,8,2,9,9,0,0,5,2,2,2,1,7,8,1,2,9,6,1,3,2,6,0,9,8,0,1,5,7,2,8,4,8,1,8,2,6,7,2,1,7,2,9,0,5
"172",1,"B6908","B",50,7,8,2,5,1,3,1,3,3,9,4,8,0,6,9,9,9,1,0,8,8,6,7,1,2,7,6,7,5,6,8,2,4,6,9,2,3,7,6,9,6,1,0,4,4,2,3,9,1,3,0,3,7,0,9,4,2
"25",1,"B1199","B",37,9,8,4,6,2,1,8,7,2,1,4,0,1,7,6,4,1,1,0,6,5,2,9,0,3,8,6,5,4,6,0,4,5,5,2,2,2,7,6,0,5,9,4,8,2,0,8,6,4,3,0,7,7,3,6,0,9
"119",1,"B4866","B",23,5,0,8,5,4,6,1,8,7,1,6,8,6,2,9,2,0,0,8,7,3,8,3,9,6,9,0,7,8,2,9,1,7,9,9,9,5,2,1,9,6,5,4,4,5,8,2,3,8,1,4,5,6,9,0,7,0
"198",1,"B7787","B",40,1,5,3,4,5,9,2,4,7,1,5,7,7,6,0,8,3,3,6,6,4,9,5,2,4,2,7,9,5,2,1,4,0,9,5,9,5,7,2,5,3,1,1,7,7,3,3,3,4,3,3,4,4,6,1,9,9
"122",1,"B4998","B",75,5,8,2,0,1,3,2,1,4,8,8,5,0,9,1,9,5,5,4,1,1,4,0,0,2,3,5,5,8,7,0,1,8,7,6,4,3,8,7,4,3,3,6,7,6,0,8,1,1,4,8,7,3,2,1,6,6
"39",1,"B1653","B",95,9,7,3,6,1,0,2,7,1,9,1,1,9,3,9,2,8,4,3,0,3,6,7,0,7,5,5,4,3,7,7,4,2,7,4,2,0,1,9,1,6,3,0,0,2,0,6,1,1,7,0,9,0,8,3,5,1
"179",1,"B7144","B",0,2,1,0,2,1,1,1,4,6,5,7,1,9,5,5,9,9,5,3,4,5,0,3,9,5,1,0,3,6,6,3,6,9,4,9,4,5,6,7,4,8,4,1,0,1,6,3,3,0,4,8,3,6,3,5,9,3
"257",1,"B7998","B",19,2,7,1,6,1,7,0,3,5,7,9,3,7,7,8,8,2,5,6,2,0,6,8,2,2,5,4,2,6,3,9,1,9,2,8,8,6,5,0,1,5,6,7,4,0,5,8,0,4,5,8,1,6,8,2,2,0
"134",1,"B5436","B",14,3,8,8,5,6,7,6,2,8,2,9,0,3,4,1,6,3,2,8,6,1,5,3,6,7,0,1,5,5,1,4,7,3,4,1,2,9,6,6,8,8,7,1,6,2,4,0,9,1,1,0,0,6,6,8,5,2
"24",1,"B1144","B",59,7,0,9,6,5,9,8,5,7,6,3,2,5,0,8,2,0,6,1,3,3,7,1,1,9,5,9,3,8,4,9,8,2,2,6,8,1,0,3,4,9,1,8,5,6,9,2,2,4,1,4,0,7,1,1,2,0
"160",1,"B6348","B",7,1,1,9,3,4,8,6,0,3,6,0,4,4,0,9,0,7,7,0,2,7,9,1,0,2,8,1,9,9,0,6,8,9,6,1,1,5,9,9,7,9,5,5,2,9,6,1,3,8,0,5,0,3,3,0,4,0
"14",1,"B0578","B",79,5,0,7,7,7,0,8,5,4,8,8,9,8,6,0,2,2,3,9,6,9,2,9,9,1,1,4,7,6,4,1,6,5,2,7,4,8,2,3,0,0,5,0,1,9,7,8,9,0,7,1,3,6,3,6,1,0
"130",1,"B5261","B",6,0,5,0,2,4,5,0,9,3,1,5,4,3,5,6,1,4,9,3,5,8,7,4,8,2,4,2,2,8,5,6,8,4,7,4,6,5,0,7,6,1,0,7,0,8,1,8,9,1,8,2,3,4,3,3,7,4
"45",1,"B1806","B",6,2,4,7,8,5,6,6,9,5,6,3,5,4,6,9,6,6,8,2,0,4,3,5,7,1,2,6,9,6,5,3,9,6,4,4,8,5,6,5,9,4,7,5,1,0,2,1,4,8,9,9,1,3,1,4,7,7
"146",1,"B5810","B",57,1,1,1,8,6,7,8,3,3,8,4,1,1,6,8,4,5,3,2,3,6,4,0,4,6,8,8,5,9,8,7,8,7,1,7,8,5,4,9,5,8,2,9,4,5,3,5,2,5,6,3,1,0,0,1,0,6
"22",1,"B1028","B",67,2,9,9,5,9,8,2,6,8,5,1,1,3,9,0,4,8,7,0,4,0,1,1,7,0,4,9,3,2,8,0,2,8,3,7,9,3,8,3,3,2,1,1,4,1,8,9,7,1,0,3,7,7,4,2,8,4
"206",1,"B8157","B",69,1,2,1,2,3,7,5,1,6,6,4,6,1,1,7,8,0,4,5,4,0,1,1,8,0,4,3,3,8,1,4,7,3,3,3,8,0,1,6,0,8,1,3,6,9,2,1,0,0,8,4,2,8,1,6,8,0
"193",1,"B7718","B",3,6,6,8,1,7,5,4,4,7,9,8,3,0,6,6,2,7,9,4,8,6,0,5,6,4,1,2,5,4,3,8,5,0,8,2,6,9,1,8,5,7,6,1,3,4,5,6,5,2,1,5,3,4,3,0,0,8
